JavaScript
bpasero
CSS
CoffeeScript
Shell
Batchfile
HTML
joaomoreno
Python
C
Vala
CMake
PowerShell
Common Lisp
TypeScript
jrieken
alexandrudima
C++
isidorn
PHP
ApacheConf
Perl
aeschli
Rust
GCC Machine Description
Java
Tyriar
sandy081
ANTLR
mjbvz
roblourens
